loss : 0.819621, modify_loss : 0.232189
loss : 0.800796, modify_loss : 0.252302
loss : 0.846075, modify_loss : 0.233490
loss : 0.845588, modify_loss : 0.231329
loss : 0.839709, modify_loss : 0.234918
loss : 0.902122, modify_loss : 0.208384
loss : 0.887795, modify_loss : 0.244397
loss : 0.852655, modify_loss : 0.249517
loss : 0.844841, modify_loss : 0.230984
loss : 0.822364, modify_loss : 0.222828
loss : 0.768390, modify_loss : 0.256821
loss : 0.776684, modify_loss : 0.257030
loss : 0.825455, modify_loss : 0.217846
loss : 0.762399, modify_loss : 0.252255
loss : 0.813739, modify_loss : 0.274019
loss : 0.793069, modify_loss : 0.240555
loss : 0.875606, modify_loss : 0.232596
loss : 0.763761, modify_loss : 0.250277
loss : 0.737423, modify_loss : 0.276739
loss : 0.766026, modify_loss : 0.253047
loss : 0.798792, modify_loss : 0.250706
loss : 0.769690, modify_loss : 0.256211
loss : 0.712265, modify_loss : 0.277820
loss : 0.789613, modify_loss : 0.253718
loss : 0.805791, modify_loss : 0.244710
loss : 0.833781, modify_loss : 0.240658
loss : 0.793897, modify_loss : 0.253633
loss : 0.788271, modify_loss : 0.250296
loss : 0.805695, modify_loss : 0.259361
loss : 0.730992, modify_loss : 0.292545
loss : 0.813294, modify_loss : 0.238402
loss : 0.791783, modify_loss : 0.265210
loss : 0.773990, modify_loss : 0.256382
loss : 0.847002, modify_loss : 0.239244
loss : 0.754278, modify_loss : 0.279239
loss : 0.758662, modify_loss : 0.261226
loss : 0.751331, modify_loss : 0.257909
loss : 0.758813, modify_loss : 0.265133
loss : 0.776751, modify_loss : 0.253903
loss : 0.728099, modify_loss : 0.269198
loss : 0.839561, modify_loss : 0.240343
loss : 0.836783, modify_loss : 0.235678
loss : 0.755994, modify_loss : 0.276659
loss : 0.793243, modify_loss : 0.280049
loss : 0.749364, modify_loss : 0.268099
loss : 0.742234, modify_loss : 0.274114
loss : 0.789331, modify_loss : 0.250390
loss : 0.727055, modify_loss : 0.275770
loss : 0.743337, modify_loss : 0.269408
loss : 0.823574, modify_loss : 0.250530
loss : 0.769215, modify_loss : 0.266943
loss : 0.770079, modify_loss : 0.267736
loss : 0.837861, modify_loss : 0.250205
loss : 0.823214, modify_loss : 0.250127
loss : 0.716635, modify_loss : 0.270609
loss : 0.737407, modify_loss : 0.283538
loss : 0.848717, modify_loss : 0.236816
loss : 0.725731, modify_loss : 0.279930
loss : 0.830236, modify_loss : 0.263245
loss : 0.769418, modify_loss : 0.266423
loss : 0.740263, modify_loss : 0.262807
loss : 0.807841, modify_loss : 0.262694
loss : 0.858981, modify_loss : 0.246519
loss : 0.686056, modify_loss : 0.298605
loss : 0.731741, modify_loss : 0.281007
loss : 0.778014, modify_loss : 0.252319
loss : 0.757072, modify_loss : 0.271612
loss : 0.755425, modify_loss : 0.253399
loss : 0.721043, modify_loss : 0.282973
loss : 0.823526, modify_loss : 0.257109
loss : 0.780849, modify_loss : 0.272287
loss : 0.698451, modify_loss : 0.279230
loss : 0.772082, modify_loss : 0.255233
loss : 0.888780, modify_loss : 0.204803
loss : 0.736086, modify_loss : 0.293259
loss : 0.760523, modify_loss : 0.238101
loss : 0.707370, modify_loss : 0.267739
loss : 0.773103, modify_loss : 0.245028
loss : 0.751280, modify_loss : 0.262206
loss : 0.811799, modify_loss : 0.244283
loss : 0.752851, modify_loss : 0.256617
loss : 0.753488, modify_loss : 0.259907
loss : 0.684918, modify_loss : 0.296576
loss : 0.739479, modify_loss : 0.284762
loss : 0.806973, modify_loss : 0.277997
loss : 0.785807, modify_loss : 0.281582
loss : 0.711741, modify_loss : 0.305464
loss : 0.745170, modify_loss : 0.283823
loss : 0.702798, modify_loss : 0.276026
loss : 0.749089, modify_loss : 0.274922
loss : 0.746343, modify_loss : 0.258025
loss : 0.695179, modify_loss : 0.286629
loss : 0.774793, modify_loss : 0.237814
loss : 0.802878, modify_loss : 0.230172
loss : 0.844828, modify_loss : 0.245875
loss : 0.827488, modify_loss : 0.234900
loss : 0.724273, modify_loss : 0.252364
loss : 0.725038, modify_loss : 0.269764
loss : 0.720976, modify_loss : 0.298620
loss : 0.723400, modify_loss : 0.248976
loss : 0.753872, modify_loss : 0.261275
loss : 0.781547, modify_loss : 0.263751
loss : 0.732754, modify_loss : 0.279119
loss : 0.723230, modify_loss : 0.274272
loss : 0.749150, modify_loss : 0.256570
loss : 0.797006, modify_loss : 0.243757
loss : 0.722999, modify_loss : 0.272015
loss : 0.681686, modify_loss : 0.292829
loss : 0.728643, modify_loss : 0.282857
loss : 0.748780, modify_loss : 0.254408
loss : 0.715747, modify_loss : 0.264464
loss : 0.682164, modify_loss : 0.284024
loss : 0.724252, modify_loss : 0.264720
loss : 0.738139, modify_loss : 0.261619
loss : 0.763951, modify_loss : 0.239194
loss : 0.668203, modify_loss : 0.314038
loss : 0.725382, modify_loss : 0.284219
loss : 0.785818, modify_loss : 0.267395
loss : 0.741555, modify_loss : 0.272114
loss : 0.689603, modify_loss : 0.288601
loss : 0.692662, modify_loss : 0.311511
loss : 0.702328, modify_loss : 0.296426
loss : 0.689374, modify_loss : 0.295121
loss : 0.697441, modify_loss : 0.290191
loss : 0.675869, modify_loss : 0.301940
loss : 0.702029, modify_loss : 0.276105
loss : 0.735756, modify_loss : 0.294865
loss : 0.667651, modify_loss : 0.304168
loss : 0.657228, modify_loss : 0.319259
loss : 0.769945, modify_loss : 0.299731
loss : 0.727411, modify_loss : 0.282263
loss : 0.752463, modify_loss : 0.289297
loss : 0.781765, modify_loss : 0.266006
loss : 0.713039, modify_loss : 0.265199
loss : 0.761396, modify_loss : 0.273253
loss : 0.681990, modify_loss : 0.315264
loss : 0.667803, modify_loss : 0.294008
loss : 0.732905, modify_loss : 0.285348
loss : 0.712168, modify_loss : 0.287690
loss : 0.741212, modify_loss : 0.304804
loss : 0.634926, modify_loss : 0.310177
loss : 0.685879, modify_loss : 0.324121
loss : 0.685516, modify_loss : 0.305862
